"id";"nsid";"takenUnix";"poiID";"poiTheme";"poiFreq";"rideDuration";"seqID"
9528224542;"100049423@N05";1376565773;11;"Dark";10034;960;1
24743313241;"100063617@N06";1451012071;11;"Dark";10034;960;2
24541269780;"100063617@N06";1451016962;11;"Dark";10034;960;2
8231158274;"10008488@N07";1354153386;17;"Show";2711;2700;3
8246289876;"10008488@N07";1354580494;5;"Water";2762;420;4
9667917212;"100214981@N03";1374451523;11;"Dark";10034;960;5
9664682873;"100214981@N03";1374451534;11;"Dark";10034;960;5
9667921320;"100214981@N03";1374451538;11;"Dark";10034;960;5
9664692101;"100214981@N03";1374451585;11;"Dark";10034;960;5
9664679237;"100214981@N03";1374452892;11;"Dark";10034;960;5
9667906550;"100214981@N03";1374452894;11;"Dark";10034;960;5
9664672079;"100214981@N03";1374452895;11;"Dark";10034;960;5
9667899678;"100214981@N03";1374452900;11;"Dark";10034;960;5
9664655431;"100214981@N03";1374452902;11;"Dark";10034;960;5
9664658557;"100214981@N03";1374452903;11;"Dark";10034;960;5
9667892280;"100214981@N03";1374452904;11;"Dark";10034;960;5
9667896648;"100214981@N03";1374452905;11;"Dark";10034;960;5
9664652449;"100214981@N03";1374452912;11;"Dark";10034;960;5
9664649059;"100214981@N03";1374452913;11;"Dark";10034;960;5
9667876396;"100214981@N03";1374453358;11;"Dark";10034;960;5
9664642131;"100214981@N03";1374453365;11;"Dark";10034;960;5
9664629213;"100214981@N03";1374453369;11;"Dark";10034;960;5
9667863342;"100214981@N03";1374453380;11;"Dark";10034;960;5
9667866442;"100214981@N03";1374453393;11;"Dark";10034;960;5
9664639209;"100214981@N03";1374453407;11;"Dark";10034;960;5
9664618357;"100214981@N03";1374453426;11;"Dark";10034;960;5
9664079223;"100214981@N03";1374453905;11;"Dark";10034;960;5
9664075609;"100214981@N03";1374453942;11;"Dark";10034;960;5
9667293182;"100214981@N03";1374453946;11;"Dark";10034;960;5
9664065021;"100214981@N03";1374454168;11;"Dark";10034;960;5
9664068587;"100214981@N03";1374454171;11;"Dark";10034;960;5
9667304206;"100214981@N03";1374454190;11;"Dark";10034;960;5
9667289322;"100214981@N03";1374454700;11;"Dark";10034;960;5
9664054957;"100214981@N03";1374454715;11;"Dark";10034;960;5
9667283610;"100214981@N03";1374454782;11;"Dark";10034;960;5
9664048341;"100214981@N03";1374454842;11;"Dark";10034;960;5
9667263952;"100214981@N03";1374454849;11;"Dark";10034;960;5
9664036579;"100214981@N03";1374454860;11;"Dark";10034;960;5
9664040145;"100214981@N03";1374454869;11;"Dark";10034;960;5
9667275558;"100214981@N03";1374454874;11;"Dark";10034;960;5
9667259878;"100214981@N03";1374454910;11;"Dark";10034;960;5
